,id,name,host_id,host_name,neighbourhood,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,latitude_41.7,latitude_41.8,latitude_41.9,latitude_42.0,longitude_-87.8,longitude_-87.7,longitude_-87.6,longitude_-87.5,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,community_Central,community_Far North Side,community_Far Southeast Side,community_Far Southwest Side,community_North Side,community_Northwest Side,community_South Side,community_Southwest Side,community_West Side,price_range_100 - 149,price_range_150 - 199,price_range_200 - 249,price_range_250 +,price_range_50 - 99,price_range_< 50
1592,18708881,GLASS HAUS STUDIO + KING BED!,33127842,Kari,Near North Side,149,21,5,2020-05-06,0.13,26,365,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1593,18717982,Historical Lincoln Park Home,45767230,Rachel,Lincoln Park,650,2,5,2020-08-12,0.13,1,364,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1594,18722151,House 3BED/2BATH/1PARKING close to Downtown & Lake,129809208,Junni,West Ridge,198,2,115,2020-07-24,2.83,3,344,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1595,18735316,Private Large bedroom in 5bed/3ba penthouse,66275798,Carol,Hyde Park,65,3,39,2020-03-07,0.97,3,137,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1596,18735326,Experience Chicago right from your window,32835578,Luis Daniel,Humboldt Park,69,7,37,2020-09-01,0.94,1,316,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1597,18736235,PENTHOUSE KING studio suite downtown River North!,63313003,K,Near North Side,155,30,2,2019-07-02,0.08,31,365,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1598,18738106,Private and Cozy Guest Room,22484523,Dorhec & Kyle,Logan Square,35,1,5,2020-08-22,0.72,1,83,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1599,18755550,"Clean, spacious, contactless check-in, location!!!",56104711,Amy,Lake View,121,2,47,2020-06-21,1.23,1,236,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1602,18769456,"Large On Space, Huge On Comfort",111302591,Jay,Woodlawn,50,2,60,2020-08-30,1.48,1,280,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1603,18779737,Your friendly home.,129954271,Fabrice,West Town,105,1,1,2017-12-17,0.03,1,179,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
